licensetype	businessname	legaldescription	description	subtype	job_value
GENERAL CONTRACTOR LICENSE	RELIANCE FIRE PROTECTION INC	LOTS 6-12, BLOCK 48, LAKE UNION SHORELANDS, TGW ALL THAT POR OF BLOCK 20, DENNY-FUHRMAN ADD LYING WLY OF FAIRVIEW AVE E, SLY OF E SHELBY ST & NLY OF E HAMLIN STTOGETHER WITH - WCLU, A MOORAGE CONDOMINUMS, VOL 254, PGS 4-8TOGETHER WITH DNR LEASED PORTION ADJACENT	Sprinklers.	INDUSTRIAL	
ELECTRICAL CONTRACTOR LICENSE	JOHNSON ELECTRIC INCORPORATED		FURNISH AND INSTALL (1) 200 AMP, OVERHEAD TEMP SERVICE.	COMMERCIAL	
		LOTS 6-12, BLOCK 48, LAKE UNION SHORELANDS, TGW ALL THAT POR OF BLOCK 20, DENNY-FUHRMAN ADD LYING WLY OF FAIRVIEW AVE E, SLY OF E SHELBY ST & NLY OF E HAMLIN ST TOGETHER WITH - WCLU, A MOORAGE CONDOMINUMS, VOL 254, PGS 4-8 TOGETHER WITH DNR LEASED PORTION ADJACENT	Sprinklers.	INDUSTRIAL	
		LOTS 6-12, BLOCK 48, LAKE UNION SHORELANDS, TGW ALL THAT POR OF BLOCK 20, DENNY-FUHRMAN ADD LYING WLY OF FAIRVIEW AVE E, SLY OF E SHELBY ST & NLY OF E HAMLIN ST TOGETHER WITH - WCLU, A MOORAGE CONDOMINUMS, VOL 254, PGS 4-8 TOGETHER WITH DNR LEASED PORTION ADJACENT	Remove 4 structures and asphalt paving per plans	INDUSTRIAL	
ELECTRICAL CONTRACTOR LICENSE	HOLMES ELECTRIC COMPANY		CHANGE OUT (2) 30 AMP 120 VOLT, POWER OUTLETS TO (1) 50 AMP 120 VOLT OUTLETS.	COMMERCIAL	
			FIRE DAMAGE REPAIR OFF OF EXISTING SERVICE (NOT DAMAGED)	COMMERCIAL	
			CONSTRUCT NOOK, SOLARIUM AND DECK ADDITION AND INTERIOR ALTERATIONS TO EXISTING SINGLE FAMILY RESIDENCE, PER PLOT PLAN AND SUBJECT TO FIELD INSPECTION (STFI)		
			FOR FUTURE ADDITIONS TO AN EXISTING FLOATING HOME		
			CONSTRUCT DORMERS AND BAY ADDITIONS AND INTERIOR ALTERATIONS TO EXISTING SINGLE FAMILY RESIDENCE, PER PLANS		
			CONSTRUCT BASEMENT STORAGE ROOM WITH ROOF DECK, PER PLOT PLAN,SUBJECT TO FIELD INSPECTION (STFI)		
	NORTHWEST PERMIT INC		INSTALL NEW FOCUS 200 FIRE ALARM CONTROL PANEL AND REPLACE 9 OLD SMOKE DETECTORS WITH NEW ONES	COMMERCIAL	
			PERMIT TO COMPLETE WORK BEGUN IN 1979 UNDER PERMIT # 586461 See attachment for old permit.	SINGLE FAMILY / DUPLEX	
	BRINKS HOME SECURITY INC		INTRUSION ALARM	SINGLE FAMILY / DUPLEX	
	ADT SECURITY SERVICES INC		PREWIRE (34) DEVICES FOR F/A; REFERENCE 6091528	COMMERCIAL	
			INSTALL NEW 2 AND A HALF TON GAS/ELECTRIC UNIT WITH 2 NEW RESTROOM EXHAUST FANS SUITE A		
ELECTRICAL CONTRACTOR LICENSE	SIGN-TECH ELECTRIC LLC		TEMP POWER FOR TEMPORARY HOOK-UP TO TRAILER ON PRIVATE PROPERTY.	COMMERCIAL	
			INTERIOR ALTERATIONS - DEMISING WALLS AND NEW STAIRS TO MEZZANINE FOR SUITE #103 PER PLAN		
			project # created in error-	COMMERCIAL	
			Closed without final inspection, no known life safety issuesWIRE NEW SINGLE FAMILY RESIDENCE 200 AMP SERVISE COMPLETE REMODEL KITCHEN BATH THREE BEDROOMS BASEMENT LOFT GARAGE LIVINGROOM 2100 SQ FT	SINGLE FAMILY / DUPLEX	
	PROTECTION ONE ALARM INC		LOW VOLTAGE SECURITY SYSTEM	SINGLE FAMILY / DUPLEX	
			INTERIOR NON-STRUCTURAL ALTERATIONS TO AN EXISTING SINGLE FAMILY RESIDENCE ALL SUBJECT TO FIELD INSPECTION.		
ELECTRICAL CONTRACTOR LICENSE	LEBBERN ELECTRIC		ELECTRICAL PANEL CHANGES FOR UNITS 101, 303 AND 205. 8/27/13 PR ADD ONE FEEDER 150 AMP.	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE	C & R ELECTRIC INCORPORATED		125 AMP MAIN LUG PANEL REPLACEMENT	MULTIFAMILY	
REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE, LOW VOLTAGE CONTRACTOR LICENSE	CFM HEATING & COOLING	LOTS 1-16 IN BLOCKS 448 AND 448A TOGETHER WITH LOTS 1-15 IN BLOCKS 449 AND 449A TOGETHER WITH VACATED AREA OF HARBOR AVE SW ADJ. BLK 448 & 448A SEATTLE TIDELANDS EXT 1, TOGETHER WITHLOTS 1 & 2 & NWLY 37 FT OF LOT 3 BLK 445 & LOTS 1 & 2 & NWLY 37 FT OF BLK 445A SD ADD TGW POR GL 1 ADJ LOTS 3 & 4 BLK 449A ON E & LY WITHIN WATER WAY IF ANY TOGETHER WITH DNR LEASED PORTION....SEE FILE	New ductwork and grilles for an existing furnace	COMMERCIAL	
	CFM HEATING & COOLING		RELOCATE (1) EXISTING T-STAT	COMMERCIAL	
	ADT SECURITY SERVICES INC		INSTALL LOW VOLTAGE SECURITY SYSTEM	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	GINTER ELECTRIC		ADD DEDICATED 15 AMP CIRCUIT FOR FIRE ALARM PANEL	SINGLE FAMILY / DUPLEX	
	DELBYRNE, LLC		Renew permit# 6113835	MULTIFAMILY	
	METRO KING CTY TRANSPORTATION		Shops - Concrete floats & Gangway truss.	COMMERCIAL	
REFRIGERATION CONTRACTOR LIC.	SELECT AIR SERVICE		INSTALLING A MINI-SPLIT A/C SYSTEM	SINGLE FAMILY / DUPLEX	
					
					
			INSTALL ELEVATOR PRESSURIZATION AND BATH FAN VENTING PER PLANS		
			INSTALL TYPE I KITCHEN HOOD PER PLANS		
			INSTALL 3 FURNACES & DUCTWORK AT FLOORS 4,5,& 6 FOR APARTMENT USE PER PLANS		
			CONSTRUCT ADDITION TO RESTAURANT, PER PLANS		
			CONSTRUCT CARPORT AND STORAGE ADDITION TO EXISTING SFR PER PLAN		
			ROOF STRUCTURE TO RETAIL BUILDING & INITIAL TENANT IMPROVEMENT, PER PLANS		
			REBUILD & ADD TO REAR OF SFR, PER PLOT PLAN, STFI PERMIT TO CLEAR VIOLATION 852706		
			INSTALLING PHONE & DATA OUTLETS TO BEDROOMS & LIVINGROOMS	MULTIFAMILY	
					
					
					
ELECTRICAL CONTRACTOR LICENSE	D J ELECTRIC & CONST INC		INSTALL (8) 30 AMP CKTS FOR T.I.	COMMERCIAL	
ELEVATOR CONTRACTOR LICENSE	SCHINDLER ELEVATOR COMPANY		INSTALL NEW LIFT		
			DEMOLISH SFR PER AB861549, TOGETHER WITH ACC BLDG TOTAL 4000 SQ FT), STFI		
			CONSTRUCT NEW 3RD STORY ADDITION TO SINGLE FAMILY RESIDENCE, ALTERATIONS TO MAIN (2ND) STORY AND 1ST STORY, PER PLAN		
ELECTRICAL CONTRACTOR LICENSE	EDLEN ELEC EXBTN SRVCS/WA INC		SPECIAL EVENT PERMIT: INTERNATIONAL GEM & JEWELRY EXPO 6/28/13 - 6/30/13, READY TO INSPECT 6/28/13 @ 10AM. CALL MARK @ (206) 255-5372. CONTRACTOR NEEDS TO SCHEDULE THE INSP'N, IT'S NOT AUTOMATIC.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	WIRED ELECTRIC INC		JOB : PLUMB, RE-ROUTE EXISTING CIRCUITS FOR NEW LAY OUT, NO CHANGES TO LIGHTING.	COMMERCIAL	
			Construct interior alterations to existing restaurant (Seattle Fudge), per floor plan, subject to field inspection.	COMMERCIAL	$40,000.00
ELECTRICAL CONTRACTOR LICENSE	PRIME ELECTRIC INCORPORATED		INSTALLING NEW 400 AMP PANEL IN NEW VENDOR FOOD COURT	COMMERCIAL	
		BLK 31, PLAN OF NORTH SEATTLE, T DENNYS 3RD ADD, TGW BLKS 32, 34, 35, 36, 42, 43, 44, & 53, D.T. DENNY'S HOME,	Shop drawings for steel stair	INSTITUTIONAL	
			Alterations to existing office space on 4th floor of existing commercial building (Center House), subject to field inspection	COMMERCIAL	$12,000.00
ELECTRICAL CONTRACTOR LICENSE	S M P ELECTRICAL SERVICES LLC		RE-WIRE ENTRY LIGHTING, REPLACE TIMERS	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE	HOLLYWOOD LIGHTS INCORPORATED		SPECIAL EVENT POWER: AT&T 12/16/10 - 1/4/11; READY TO INSPECT 12/15/10 AT 10AM, CALL CHUCK @ 206-510-2576.	COMMERCIAL	
	ADT SECURITY SERVICES INC		INSTALLING CCTV SYSTEM FOR TWO ATMS. W MERCER ATM (BY THE PARKING LOT NEXT TO THE STADIUM), AND THE PAVILLION ATM.	COMMERCIAL	
		WESTERLY 50' OF LT 12, BLK 3, FAIRVIEW HOMESTEAD ADDITION.	Change of use of 2nd floor and portion of 1st floor from Food Processing to Restaurant & Interior alterations to create additional restaurant and occupy per plan.	COMMERCIAL	$15,000.00
ELEVATOR CONTRACTOR LICENSE	OTIS ELEVATOR COMPANY		TEMP OPERATING PERMIT FOR CAR 9417		
ELECTRICAL CONTRACTOR LICENSE	HOLLYWOOD LIGHTS INCORPORATED		SPECIAL EVENT: BUMBERSHOOT 8/30/08 TO 9/1/08 AT SEATTLE CENTER. READY TO INSPECT 8/29/08 IN PM; CONTACT MATT AT 206/510-4521	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	HOLLYWOOD LIGHTS INCORPORATED		SPECIAL EVENT: GEM FAIR 4/6-8/07; READY TO INSPECT FRIDAY, APRIL 6TH; CONTACT IS MIKE @ (206) 510-2719	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	TRADE SHOW ELECTRICAL		SPECIAL EVENTS PERMIT FOR THE PACIFIC NORTHWEST QUILTERS SHOW FRIDAY, 8/11/06. READY FOR INSPECTION 8/11/06 FROM 8AM TO 9AM. CONTACT PAT CAFFEE 206-527-0749.	COMMERCIAL	
		BLK 31, PLAN OF NORTH SEATTLE, T DENNYS 3RD ADD, TGW BLKS 32, 34, 35, 36, 42, 43, 44, & 53, D.T. DENNY'S HOME,	Closed as Incomplete - Expired Permit Erect temporary Temple and Portal structures on rooftop of Festival Pavilion, Seattle Center, July 23-August 19, 2006. (Owner is responsible for structural integrity of structures.)	INSTITUTIONAL	$0.00
ELECTRICAL CONTRACTOR LICENSE	HOLLYWOOD LIGHTS INCORPORATED		SPECIAL EVENT POWER @ ANTIQUARIAN BOOK FAIR FROM 10/9/04-10/10/04; READY TO INSPECT @ 2PM ON 10/8/04 - CALL JASON WYLL @ 206-510-6972.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	COCHRAN INCORPORATED		CEC#777002-44507. INSTALL 150A PANEL & ADD (1) 60A FEEDER FOR CASH MACHINE.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	VALLEY ELEC CO OF MTVERNON INC		RENOVATION OF (5) LEVELS AT EMP INCLUDING LIGHTING & DISTRIBUTION	COMMERCIAL	
ELEVATOR CONTRACTOR LICENSE	SCHINDLER ELEVATOR COMPANY		DOOR OPERATOR UPGRADE.		
REGIS. SIDE SEWER CONTRACTOR, SPECIALTY CONTRACTOR LICENSE	MODERN SEWER CORPORATION		REPAIR SEWER TO FOOD COURT	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	CONVERGINT TECHNOLOGIES LLC		REPLACE FIRE ALARM PANEL IN SPACE NEEDLE, INCLUDING A NEW PANEL IN THE MECH DECK (EXISTING WIRING & FIRE DEVICES WILL STAY) - JOINT VENTURE W/ MCKINSTRY ELECTRIC	COMMERCIAL	
			INSTALL AIR HANDLING UNIT WITH ASSOCIATED EQUIPMENT ON BASEMENT AND 1ST FLOOR (INTIMAN THEATER) PER PLANS		
			INSTALL PAINT BOOTH TO EXISTING SEEN WORKSHOP IN BAGLEY WRIGHT BLDG GROUND FLOOR PER PLAN		
			PHASE 3 SUPERSTRUCTURE FOR MUSEUM (THE EXPERIENCE MUSIC PROJECT) PER PLAN		
			REGRADE & RESTRIPE PARKING AREA PER PLANS		
			ALTERATIONS FOR TENANT IMPROVEMENT PORTION OF BUILDING FROM WAREHOUSE TO BUSINESS SUPPORT SERVICES & OCCUPY,PER PLANS		
			INTERIOR ALTERATIONS TO CREATE CONFERENCE ROOM PER PLANS		
			BATHRMS & AUDITORIUM SEATS TO MEET BFAC STDS, PER PLANS		
			PROJECTION BOOTH AT 1ST FLOOR BALCONY; STFI		
			INST 2 TEMP TENTS FOR USE 4/17 THRU 4/30 STFI&PLPN		
			Revise permit 6190580 to 2009 codes and renew permit from 2/26/2013 until 8/26/2014.	SINGLE FAMILY / DUPLEX	
REFRIGERATION CONTRACTOR LIC.	KLIEMANN BROS HEATING & A/C		INSTALL PIPING FOR MINI SPLIT	SINGLE FAMILY / DUPLEX	
REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	PIPELINE INDUSTRIES INC		SIDE SEWER REPAIR	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	VIKING ELECTRIC SALES/SVC INC		RELOCATE F/A PANEL	MULTIFAMILY	
	STIRRETT/JOHNSEN INCORPORATED		INSTALLING NEW PRESSURE VESSEL	COMMERCIAL	
			CONSTRUCT NEW SECOND FLOOR ADDITION TO SINGLE FAMILY RESIDENCE, PER PLAN		
			ESTABLISH USE FOR SINGLE FAMILY RESIDENCE; CONSTRUCT SINGLE FAMILY RESIDENCE WITH ATTACHED GARAGE, PER PLANS.		
			BASEMENT & OCCUPY AS DUPLEX PER PLAN CHANGE USE TO 2 UNIT GROUND RELATED BLDG		
ELECTRICAL CONTRACTOR LICENSE	INTEGRATED POWER INCORPORATED		LOW VOLTAGE HVAC CONTROLS INSTALLATION ON ALL 5 FLOORS	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	VECA ELECTRIC COMPANY INC		TENANT IMPROVEMENTS:ADD SWITCHES, RECEPTACLES, FIRE ALARM DEVICE.	COMMERCIAL	
		APN 98920-1150: LT 7, BLK 22, D.T. DENNY'S ADDITION	Inerior non-structural demolition of existing 2nd floor office subject to field inspection	COMMERCIAL	$2,000.00
ELEVATOR CONTRACTOR LICENSE	THYSSENKRUPP ELEVATOR CORP		INSTALL NEW CAB WALL LAMINATE PANELS, HANDRAILS, & CEILING SYSTEMS		
	METZKER COMMUNICATIONS INC		INSTALL COMMUNICATIONS CABLING	COMMERCIAL	
			ZONING REVIEW ONLY RE-STRIPE AND MAINTAIN PARKING LOT, PER PLANS		
ELEVATOR CONTRACTOR LICENSE	OTIS ELEVATOR COMPANY		MODERNIZE HYDRAULIC ELEVATOR--Replace: Tank & Pump, Controller, Door Operator, Cab Fixtures. Installing: Rupture Valve in Pit, Shut Off Valve in Pit and Machine Room.		
SPECIALTY CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	FISCHER PLUMBING CO INC, THE		EMERGENCY SPOT REPAIR IN CITY SIDEWALK; BUILDING IS FLOODING.	SINGLE FAMILY / DUPLEX	
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	METROPOLITAN SEWER SERVICE LLC		REPAIR	COMMERCIAL	
			ALTER BASEMENT FLOOR PLAN OF 10-PLEX APARTMENT BUILDING TO ADD 11TH UNIT AND ESTABLISH 11-PLEX, PROVIDE STORAGE FOR ELEVEN UNITS AND OCCUPY, ALL PER PLANS/ REFERENCE CANCELLED PROJECT 2100864		
			CONSTRUCT NEW ACCESSORY USE PARKING LOT AND OCCUPY PER PLANS (PROJECT INCLUDES APPROX. 470 CU. YDS. GRADING) COMPLETE ABOVE WORK OF PERMIT: 673854		
			ALTER EXISTING PARKING GARAGE/STORAGE AND EST USE AS OFFICE/CLASSROOM/STORAGE, PER PLANS		
			EST USE FOR THE RECORDS OF 10 UNIT APARTMENTS, PP OCCUPY AS 10 APARTMENTS		
REFRIGERATION CONTRACTOR LIC.	SELECT AIR SERVICE		INSTALL PIPING FOR HEAT PUMP	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	SUPREME ELECTRIC LLC		WIRE MAIN FLOOR, UPSTAIRS & UPGRADING PANEL	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	ACTIVE ELECTRIC CORPORATION		REPLACE BASEBOARD HEATERS WITH FORCED AIR HEATERS AND WIRE KITCHEN REMODEL.	SINGLE FAMILY / DUPLEX	
ELEVATOR CONTRACTOR LICENSE	STERLING ELEVATOR LLC		INSTALL RESIDENTIAL WINDING DRUM ELEVATOR		
ELECTRICAL CONTRACTOR LICENSE	AUBURN ELECTRICAL SERVICE		INSTALLING CIRCUIT FOR NEW GAS WATER HEATER.	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE	MCKINLEY ELECTRIC INCORPORATED		WIRE NEW DUPLEX; BLDG PERMIT 735600.	SINGLE FAMILY / DUPLEX	
			DEMOLISH TWO RESIDENTIAL STRUCTURES. ESTABLISH USE FOR FUTURE CONSTRUCTION OF A 54-UNIT MULTI- FAMILY STRUCTURE (APARTMENTS).		
			CONSTRUCT 2ND-STORY APT ADDITION (W/MEZZANINES) INTERIOR ALTERATIONS TO EXISTING COMMERCIAL BLDG ESTABLISH USE OF BLDG AS GENERAL RETAIL (1ST FLR) AND APARTMENTS (2 UNITS) PER PLANS		
			DETACHED GARAGE, ACCESSORY TO ONE FAMILY DWELLING CONSTRUCT RETAINING WALL & ESTABLISH REQUIRED OFF-STREET PARKING, PER PLANS		
			CONSTRUCT ONE STORY ADDITION TO REAR OF SFR PER PLOT PLAN, STFI		
			COUNCIL LAND USE ACTION TO REZONE APPROXIMATELY 5,500 SQ. FT. OF LAND FROM SF-5000 TO NC1/30'.		
		LT 18, BLK 12, SUPL PLAT OF THE UPLANDS	Construct alterations to existing single family residence/per plan.	SINGLE FAMILY / DUPLEX	$50,000.00
ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE, REGIS. SID	WASHINGTON ENERGY SVCS (WESCO)		REPLACE GAS FURNACE	SINGLE FAMILY / DUPLEX	
			CONST 2ND AND 3RD FLOOR ADDITION TO 1ST FLOOR PER PLANS		
		LOT 4, BLOCK 1, WABASH ADD	Demolish existing single family residence and detached garage, subject to field inspection, STFI.	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	A & I ELECTRICAL REPAIR		REWIRE MOST OF THE HOUSE	SINGLE FAMILY / DUPLEX	
			ESTABLISH USE AS SINGLE FAMILY RESIDENCE CONSTRUCT 2 STORY SINGLE FAMILY RESIDENCE PER PLAN		
			ENCLOSE PORTION PORCH, ADD DECK, ROOF DORMER AND ALTERATIONS TO SINGLE FAMILY RES. PER PLANS		
			DEMOLISH SINGLE FAMILY RES AND GARAGE, ESTABLISH USE AS APARTMENT, CONST APARTMENT, PER PLAN		
ELECTRICAL CONTRACTOR LICENSE	C & R ELECTRIC INCORPORATED		200 AMP SERVICE AND FURNACE CONNECTION	SINGLE FAMILY / DUPLEX	
GENERAL CONTRACTOR LICENSE	SEATTLE HOUSING AUTH GENERAL	PARCEL B, LBA #3009264	NE/NW APT RENOVATIONS (T.I. & Exterior alterations to combine NW & NE bldgs; Major renovations to south bldg; Substantial alteration. Repave parking lot of existing apartment complex per plan. Review & Process 2AP's under #6148516.)	MULTIFAMILY	$1,400,000.00
		PARCEL R, SP#3008649	Construct 2-story triplex per plans. (Construct 25 dwelling units in (2 duplex and 7 triplex structure per plans). (processing and routing for 10 A/P's with 6171977).	MULTIFAMILY	$375,937.00
ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE	INDOOR COMFORT SYSTEMS INC		INSTALL NEW GAS FURNACE. REF BLDG PERMIT 6064279.	SINGLE FAMILY / DUPLEX	
REGIS. SIDE SEWER CONTRACTOR	COVINGTON CONCRETE/EXCAVATION		INFILTRATION STORM ON SITE - SANITARY SEWER TIE IN ROW	SINGLE FAMILY / DUPLEX	
		LOT 20, LESS THE 5' ADJ TO LOT 19, TGW ALL OF LOT 21, BLK 28, SOUTH PARK	Construct one family dwelling with attached garage per plan.	SINGLE FAMILY / DUPLEX	$196,665.00
			ESTABLISH USE AS SINGLE FAMILY RESIDENCE CONSTRUCT NEW FOUNDATION FOR RED SEAL MANUFACTURED HOME PER PLANS		
			INTERIOR ALTERATION TO SINGLE FAMILY RESIDENCE SUBJECT TO FIELD INSPECTION.(STFI) TO COMPLY WITH VIOLATION #212850		
			ESTABLISH USE AS SINGLE FAMILY RESIDENCE CONSTRUCT ONE FAMILY DWELLING & PROVIDE ONE ON-SITE PARKING SPACE, PER PLANS		
			ESTABLISH USE AS SINGLE FAMILY RESIDENCE CONSTRUCT ONE FAMILY DWELLING W/ATTACHED GARAGE PER PLAN		
			GRADE APPRX 3750 CUYD INCID TO METRO RETS, PER PLN		
			Construct interior alterations and replace siding and windows at existing single family residence, per floor plans, subject to field inspection.	SINGLE FAMILY / DUPLEX	$90,000.00
ELEVATOR CONTRACTOR LICENSE	SCHINDLER ELEVATOR COMPANY		INSTALL NEW CABLED ELEVATOR		
			INSTALL HVAC FOR COMMERCIAL BLDG, PER PLAN		
			Unit Lot Subdivision		
		LOTS 1 & 2, BLOCK 31 TGW LOTS 1-4, BLOCK 32, TGW TRACT B, HIGH POINT COMMUNITY BLOCKS 25-35	Construct northwest townhouse structure, per plans. (Establish use as and construct two new multifamily townhouse structures with attached garages, per plans / Review and processing for 2 AP's under 6357952)	MULTIFAMILY	$1,133,740.00
REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	BDZ CONSTRUCTION		STORM & SEWER; ASSOC BLDG PERMIT #6312832	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	GARNER ELECTRIC CO		WIRE NEW HOME WITH 200-AMP SERVICE AND A 200-AMP FEEDER	SINGLE FAMILY / DUPLEX	
		LOTS 1,2,3 BLOCK 24,(UNIT LOTS 1-38) HIGH POINT COMMUNITY , LBA #3013662	Establish use and construct new multifamily townhouse building per plans	MULTIFAMILY	$699,381.00
	ADT SECURITY SERVICES INC		INTRUSION ALARM	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	AULT ELECTRIC COMPANY INC		ALL ELECTRICAL WORK COMPLETE FOR A 4-PLEX, BUILDING INTERIOR & SITE - ELECTRICAL REVIEW UNDER #6160395	MULTIFAMILY	
			REPLACE EXISTING FIREPLACE INSERTS	SINGLE FAMILY / DUPLEX	
		THE E 60.5' OF LOTS 3 & 4, BLOCK 31, MERCERS 2ND ADD TO N SEATTLE	Demolish existing single family residence w/attached garage (by means of deconstruction) down to the 1st floor diapragm & establish use for future construction as a Single Family Residence per plans	SINGLE FAMILY / DUPLEX	
	STEVE WILLIAMS CSTM HOMES INC		TEMP POWER REF AP#6076756	MULTIFAMILY	
		EAST 48' OF LTS 19-20, & EAST 48'OF SOUTH 18' OF LT 21, ALL IN BLK 1, PRATT'S ORCHARD ADDITION	Demolish existing SFR for future 4 unit townhouse-STFI	SINGLE FAMILY / DUPLEX	
			INTERIOR NON-STRUCTURAL ALTERATIONS TO 1ST FLOOR & BASEMENT, CHANGE USE FROM SINGLE FAMILY RESIDENCE TO DUPLEX PER PLAN.		
			REMODEL/RENOVATE EXISTING WIRING	SINGLE FAMILY / DUPLEX	
			FOR FUTURE ADDITION TO EXISTING SINGLE FAMILY RESIDENCE COMPLETE ABOVE WORK OF PERMIT 666093		
			CONSTRUCT ADDITIONS TO SINGLE FAMILY RESIDENCE INTERIOR ALTERATIONS, PER PLANS COMPLETE ABOVE WORK OF PERMIT: 654143		
			CONST SECOND FLOOR ADDITION TO 1ST AND 2ND FLOOR AND ENCLOSE CARPORT OF SINGLE FAMILY RESIDENCE PER PLANS		
			REVISION TO PREVIOUSLY APPROVED MUP#9604391,FOR FUTURE CONSTRUCTION OF 19 UNIT APPARTMENT BUILDING WITH UNDERGROUND PARKING GARAGE FOR 28 CARS		
			SEWER & DRAINAGE CONNECTIONS	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE	PREMIER MECH AND ELECTRIC LLC		INSTALLING 4-TON A/C ROOFTOP UNIT & DUCTING FOR PENTHOUSE, FORCED AHU FOR MAIN FLR	SINGLE FAMILY / DUPLEX	
		N 1/2 OF LOT 11 & ALL OF 12, BLOCK 16, MC GILVRAS J J 2ND ADD	Establish and construct single family residence with detached garage per plan	SINGLE FAMILY / DUPLEX	$822,548.00
		EAST HIGHLAND DRIVE TOWNHOUSES, A CONDOMINIUM (VOL 43, PGS 18-22)	Re-establish permit #6070996	SINGLE FAMILY / DUPLEX	
	PROTECTION ONE ALARM INC		KP WIRE IS BEING RERUN FOR LV SECURITY SYSTEM	SINGLE FAMILY / DUPLEX	
			1ST FLOOR OF EXTG. SFR, STFI		
GENERAL CONTRACTOR LICENSE	SEA & SHORE CONSTRUCTION INC	LOTS 8-9, BLOCK 13, MC GILVRAS REPLT MC GILVRAS 2ND EXC W 10' & LOTS 1-2, BLK 29, LK WASHINGTON SH LDS ADD	Shoreline exemption to replace 2 existing dolphins with mooring piles.		$0.00
			Hazard tree removal.		
					
GENERAL CONTRACTOR LICENSE	EDIFICE CONSTRUCTION CO INC		Reestablish AP # 6371614 from 06/29/13 to 12/29/14.	MULTIFAMILY	
REFRIGERATION CONTRACTOR LIC.	EMERALD AIRE INCORPORATED		INSTALL PIPING FOR (2) HEAT PUMPS.	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE	AUTOMATED EQUIPMENT COMPANY		INSTALL BI-PARTING LOW VOLTAGE GATE SYSTEMPOWER AND UNDERGROUND CONDUITS BY OTHERS	MULTIFAMILY	
REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE	AIR 1 HEATING	LOTS 6 & 7, BLOCK 7, COMSTOCK ADDN, AKA UNIT LOT A THRU C, SP #3011761	Install (1) each for both units, HVAC system and related duct work, bathroom, kitchen and laundry exhaust fans	MULTIFAMILY	
REFRIGERATION CONTRACTOR LIC.	PUGET SOUND FURNACE COMPANY		INSTALL PIPING FOR (2) HEAT PUMPS	MULTIFAMILY	
GENERAL CONTRACTOR LICENSE	KRUSEN CONSTRUCTION INC	W 38'OF S 20'LT 3, W 38'LT 4-5, E 28'LT 6, E 28'OF S 4'LT 7, E 24'OF N 46'LT 7, S 20'OFE 24'LT 8, S 1/2 VAC ALLEY, BLK 26, COMSTOCK ADDN	Construct elevator shaft on exterior of existing single family residence per plan.	SINGLE FAMILY / DUPLEX	$25,000.00
			INTERIOR NON-STRUCTURAL ALTERATIONS TO AN EXISTING CONDOMINIUM UNIT 5W. SUBJECT TO FIELD INSPECTION (STFI)		
ELECTRICAL CONTRACTOR LICENSE	ELECTRICAL INSTALLERS INC		COMPLETE WIRE OF SFR	SINGLE FAMILY / DUPLEX	
			CONSTRUCT RETAINING WALLS AND GRADE APPROX 243 CU. YDS. OF MATERIAL, PER PLANS		
			INTERIOR NON-STRUCTURAL ALTERATIONS TO CONDO UNIT A-1, SUBJECT TO FIELD INSPECTION, (STFI)		
			CONST BUILDING & OCCUPY AS APARTMENTS, PER PLANS		
